dishID,dish_name,cross_contamination,egg,fish,milk,peanut,shellfish,soy,treenuts,gluten,veg/vgn,dish_type
42,Big Mouth® Bites,False,True,False,True,False,False,True,False,True,False,etnree
43,Chili's Chili Burger w/o Bun w/o Cheese,True,False,False,False,False,False,True,False,False,False,etnree
44,Just Bacon Burger,False,True,False,True,False,False,True,False,True,False,etnree
45,Just Bacon Burger w/o Bun,False,True,False,True,False,False,True,False,False,False,etnree
46,Mushroom Swiss Burger,False,True,False,True,False,False,True,False,True,False,etnree
47,Mushroom Swiss Burger w/o Bun,False,True,False,True,False,False,True,False,False,False,etnree
48,Oldtimer® Burger,False,False,False,False,False,False,True,False,True,False,etnree
49,Oldtimer® Burger w/o Bun,False,False,False,False,False,False,False,False,False,False,etnree
50,Oldtimer® Burger With Cheese,False,False,False,True,False,False,True,False,True,False,etnree
51,Oldtimer® Burger With Cheese w/o Bun,False,False,False,True,False,False,False,False,False,False,etnree
52,Queso Burger,True,False,False,True,False,False,True,False,True,False,etnree
53,Queso Burger w/o Bun,True,False,False,True,False,False,True,False,False,False,etnree
54,Southern Smokehouse Burger,True,True,False,True,False,False,True,False,True,False,etnree
55,Southern Smokehouse Burger w/o Onion Blossom Petals,False,True,False,True,False,False,True,False,True,False,etnree
56,The Boss Burger,False,True,False,True,False,False,True,False,True,False,etnree
57,The Boss Burger w/o Bun,False,True,False,True,False,False,True,False,False,False,etnree
58,Add-On Avocado Slices,False,False,False,False,False,False,False,False,False,True,add_on
59,Add-On Sauteed Mushrooms,False,False,False,True,False,False,True,False,False,True,add_on
60,Add-On The Original Chili,False,False,False,False,False,False,False,False,False,False,add_on
61,Black Bean Patty,False,True,False,True,False,False,True,False,True,True,add_on
62,Add Applewood Smoked Bacon,False,False,False,False,False,False,False,False,False,False,add_on
63,Black Bean & Veggie,False,True,False,True,False,False,True,False,True,True,etnree
64,Carnitas,False,False,False,False,False,False,True,False,False,False,etnree
65,Chicken,False,False,False,True,False,False,True,False,False,False,etnree
66,Mushroom Jack Chicken,False,False,False,True,False,False,True,False,False,False,etnree
67,Steak,False,False,False,True,False,False,True,False,False,False,etnree
68,Shrimp,False,False,False,True,False,True,True,False,False,False,etnree
69,Add White Queso & Pico,False,False,False,True,False,False,True,False,False,False,etnree
70,Add Guacamole,False,False,False,False,False,False,False,False,False,True,etnree
71,Fajita Toppings,False,False,False,True,False,False,False,False,False,True,etnree
72,Side Mexican Rice & Beans,False,False,False,False,False,False,False,False,False,True,etnree
73,Tortillas - Flour,False,False,False,False,False,False,False,False,True,True,etnree
74,Tortillas - All-Natural Corn,False,False,False,False,False,False,False,False,False,True,etnree
75,Bacon Ranch Chicken Quesadillas,False,True,False,True,False,False,True,False,True,False,etnree
76,Bacon Ranch Steak Quesadillas,False,True,False,True,False,False,True,False,True,False,etnree
77,Brisket Quesadillas,False,True,False,True,False,False,True,False,True,False,etnree
78,Chipotle Chicken Bowl,True,True,False,True,False,False,True,False,False,False,etnree
79,Chipotle Chicken Bowl w/o Ranch,True,False,False,True,False,False,True,False,False,False,etnree
80,Chipotle  Shrimp Bowl,True,True,False,True,False,True,True,False,False,False,etnree
81,Chipotle Shrimp Bowl w/o Ranch,True,False,False,True,False,True,True,False,False,False,etnree
82,Chipotle Bowl w/o Protein,True,True,False,True,False,False,True,False,False,True,etnree
83,Ranchero Chicken Tacos,False,True,False,True,False,False,True,False,True,False,etnree
84,Ranchero Chicken Tacos w/o Cheese,False,True,False,False,False,False,True,False,True,False,etnree
85,Spicy Shrimp Tacos,False,True,False,True,False,True,True,False,True,False,etnree
86,6 oz or 10 oz Sirloin with Grilled Avocado,False,False,False,False,False,False,True,False,False,False,etnree
87,Ancho Salmon,False,False,True,True,False,False,True,False,False,False,etnree
88,Grilled Chicken Salad,False,False,False,True,False,False,True,False,False,False,etnree
89,Grilled Chicken Salad w/o Cheese,False,False,False,False,False,False,True,False,False,False,etnree
90,Mango-Chile Chicken,False,False,False,False,False,False,True,False,False,False,etnree
91,Margarita Grilled Chicken,True,False,False,False,False,False,False,False,False,False,etnree
92,Cajun Pasta with Grilled Chicken,False,False,False,True,False,False,True,False,True,False,etnree
93,Cajun Pasta with Shrimp,False,False,False,True,False,True,True,False,True,False,etnree
94,Crispy w/o Sauce,True,False,False,False,False,False,True,False,True,False,etnree
95,Crispy Honey Chipotle w/o Ranch,True,False,False,False,False,False,True,False,True,False,etnree
96,Crispy Honey Chipotle & Waffles,True,True,False,True,False,False,True,False,True,False,etnree
97,Crispy Mango-Habanero w/o Ranch,True,False,False,False,False,False,True,False,True,False,etnree
98,Original  w/o Honey Mustard,True,False,False,False,False,False,True,False,True,False,etnree
99,Add Side Original BBQ Sauce,False,False,False,False,False,False,False,False,False,True,etnree
100,Add Side Honey-Mustard,False,True,False,False,False,False,False,False,False,True,etnree
101,Add Side House BBQ Sauce,False,False,False,False,False,False,True,False,False,True,etnree
102,Add Side Ranch,False,True,False,True,False,False,False,False,False,True,etnree
103,Steak Add Shrimp,False,False,False,False,False,True,True,False,False,False,etnree
104,Classic Ribeye,False,False,False,True,False,False,True,False,False,False,etnree
105,Classic Sirloin,False,False,False,True,False,False,True,False,False,False,etnree
106,Country-Fried Steak,True,False,False,True,False,False,True,False,True,False,etnree
107,Burger Bites,False,False,False,False,False,False,True,False,True,False,kids
108,Cheese Quesadilla,False,False,False,True,False,False,True,False,True,True,kids
109,Cheeseburger Bites,False,False,False,True,False,False,True,False,True,False,kids
110,Cheesy Chicken Pasta,False,False,False,True,False,False,True,False,True,False,kids
111,Crispy Chicken Crispers with Ranch,True,True,False,True,False,False,False,False,True,False,kids
112,Grilled Cheese Sandwich,False,False,False,True,False,False,True,False,True,False,kids
113,Grilled Chicken Bites,False,False,False,False,False,False,True,False,True,False,kids
114,Grilled Chicken Dippers with Ranch,False,True,False,True,False,False,False,False,False,False,kids
115,Kraft® Macaroni & Cheese,False,False,False,True,False,False,False,False,True,False,kids
116,Original Ribs,False,False,False,False,False,False,False,False,False,False,kids
117,Pizza - Cheese,False,False,False,True,False,False,True,False,True,True,kids
118,Pizza - Pepperoni,False,False,False,True,False,False,True,False,True,False,kids
119,Side Corn on the Cob,False,False,False,False,False,False,False,False,False,True,kids
120,Side Fresh Pineapple,False,False,False,False,False,False,False,False,False,True,sides_kids
121,Side Fries,True,False,False,False,False,False,False,False,False,True,sides_kids
122,Side Mandarin Oranges,False,False,False,False,False,False,False,False,False,True,sides_kids
123,Side Mashed Potatoes  w/o  Gravy,False,False,False,True,False,False,True,False,False,True,sides_kids
124,Side Salad with Ranch,False,True,False,True,False,False,True,False,True,True,sides_kids
125,Side Steamed Broccoli,False,False,False,False,False,False,False,False,False,True,sides_kids
126,Bacon Avocado Grilled Chicken Sandwich  w/o Side Fries,False,True,False,True,False,False,True,False,True,False,entree
127,Bacon Ranch Chicken Quesadilla w/o  Chips & Salsa,False,True,False,True,False,False,True,False,True,False,entree
128,Boneless Wings - Buffalo w/o Side Fries,True,True,True,True,False,False,True,False,True,False,entree
129,Boneless Wings - Honey Chipotle w/o Side Fries,True,True,False,True,False,False,True,False,True,False,entree
130,Boneless Wings - House BBQ w/o Side Fries,True,True,False,True,False,False,True,False,True,False,entree
131,Boneless Wings - Mango-Habanero w/o Side Fries,True,True,False,True,False,False,True,False,True,False,entree
132,CA Turkey Club Toasted Sandwich  w/o Side Fries,False,True,False,True,False,False,True,False,True,False,entree
133,Chipotle Chicken Fresh Mex Bowl,True,True,False,True,False,False,True,False,False,False,entree
134,Double Burger  w/o Side Fries,False,False,False,True,False,False,True,False,True,False,entree
135,"Lunch Chicken Fajitas w/o Toppings, Tortillas, or Sides",False,False,False,True,False,False,True,False,False,False,entree
136,"Lunch Shrimp Fajitas w/o Toppings, Tortillas, or Sides",False,False,False,True,False,True,True,False,False,False,entree
137,Add White Queso & Pico,False,False,False,True,False,False,True,False,False,False,entree
138,Add Guacamole,False,False,False,False,False,False,False,False,False,True,entree
139,Fajita Toppings,False,False,False,True,False,False,False,False,False,True,entree
140,Side Mexican Rice & Beans,False,False,False,False,False,False,False,False,False,True,entree
141,Tortillas - Flour,False,False,False,False,False,False,False,False,True,True,entree
142,Tortillas - All-Natural Corn,False,False,False,False,False,False,False,False,False,True,entree
143,Spicy Shrimp Tacos (2) w/o Chips & Salsa,False,True,False,True,False,True,True,False,True,False,entree
144,Side - Fries,True,False,False,False,False,False,False,False,False,True,sides
145,Side - Tostada Chips & Salsa,True,False,False,False,False,False,False,False,False,True,sides
146,Boneless Buffalo Chicken Salad,True,True,True,True,False,False,False,False,True,False,entree
147,Boneless Buffalo Chicken Salad w/o Dressing,True,False,True,True,False,False,False,False,True,False,entree
148,Caribbean Salad,False,True,False,False,False,False,False,False,False,True,entree
149,Caribbean Salad w/o Dressing,False,False,False,False,False,False,False,False,False,True,entree
150,Caribbean Salad w/ Grilled Chicken,False,True,False,False,False,False,False,False,False,False,entree
151,Caribbean Salad w/ Grilled Chicken w/o Dressing,False,False,False,False,False,False,False,False,False,False,entree
152,Caribbean Salad w/ Shrimp,False,True,False,False,False,True,True,False,False,False,entree
153,Caribbean Salad w/ Shrimp w/o Dressing,False,False,False,False,False,True,True,False,False,False,entree
154,Grilled Chicken Salad,False,False,False,True,False,False,True,False,False,False,entree
155,Grilled Chicken Salad w/o Cheese,False,False,False,False,False,False,True,False,False,False,entree
156,Quesadilla Explosion Salad,True,False,False,True,False,False,True,False,True,False,entree
157,Quesadilla Explosion Salad w/o  Chicken,True,False,False,True,False,False,True,False,True,True,entree
158,Side - Caesar Salad,False,True,True,True,False,False,True,False,True,False,entree
159,Side - Caesar Salad w/o Croutons,False,True,True,True,False,False,False,False,False,False,entree
160,Side - House Salad w/o Dressing,False,False,False,True,False,False,True,False,True,True,entree
161,Side - House Salad w/o Dressing w/o Croutons,False,False,False,True,False,False,False,False,False,True,entree
162,Side - House Salad w/o Dressing w/o Croutons w/o Cheese,False,False,False,False,False,False,False,False,False,True,entree
163,Santa Fe Chicken Salad w/ Crispers,True,True,False,True,False,False,False,False,True,False,entree
164,Santa Fe Chicken Salad w/ Spicy Grilled Chicken,True,True,False,True,False,False,True,False,False,False,entree
165,Santa Fe Chicken Salad w/ Spicy Grilled  Chicken w/o Ranch,True,True,False,False,False,False,True,False,False,False,entree
166,Southwest Caesar Salad w/ Chicken,True,True,True,True,False,False,False,False,False,False,entree
167,Southwest Caesar Salad w/ Shrimp,True,True,True,True,False,True,True,False,False,False,entree
168,Ancho Chile Ranch,False,True,False,True,False,False,False,False,False,True,salad_dressing
169,Avocado Ranch,False,True,False,True,False,False,False,False,False,True,salad_dressing
170,Bleu Cheese,False,True,False,True,False,False,False,False,False,False,salad_dressing
171,Caesar,False,True,True,True,False,False,False,False,False,False,salad_dressing
172,Citrus Balsamic Vinaigrette,False,False,False,False,False,False,False,False,False,True,salad_dressing
173,Honey Lime,False,True,False,False,False,False,False,False,False,True,salad_dressing
174,Honey Lime Vinaigrette,False,False,False,False,False,False,False,False,False,True,salad_dressing
175,Honey-Mustard,False,True,False,False,False,False,False,False,False,True,salad_dressing
176,Ranch,False,True,False,True,False,False,False,False,False,True,salad_dressing
177,Santa Fe,False,True,False,False,False,False,False,False,False,True,salad_dressing
178,Thousand Island,False,True,False,False,False,False,False,False,False,True,salad_dressing
179,Bacon Avocado Grilled Chicken Sandwich,False,True,False,True,False,False,True,False,True,False,entrée
180,Buffalo Chicken Ranch Sandwich,True,True,True,True,False,False,True,False,True,False,entrée
181,California Turkey Club,False,True,False,True,False,False,True,False,True,False,entrée
182,Chicky Chicky Bleu Sandwich,True,True,False,True,False,False,True,False,True,False,entrée
183,Chicken Enchilada,True,False,False,True,False,False,True,False,True,False,soup
184,Loaded Baked Potato,False,False,False,True,False,False,True,False,False,False,soup
185,Southwestern Chicken,True,False,False,True,False,False,True,False,False,False,soup
186,The Original Chili,True,False,False,True,False,False,False,False,False,False,soup
187,The Original Chili w/o Cheese,True,False,False,False,False,False,False,False,False,False,soup
188,Brisket Quesadillas - Half Order,False,True,False,True,False,False,True,False,True,False,entrée
189,Cheesy Bacon BBQ Chicken,False,False,False,True,False,False,True,False,False,False,entrée
190,Crispy Crispers w/o Dressing,True,False,False,False,False,False,False,False,True,False,entrée
191,Honey Chipotle Crispers w/o Dressing,True,False,False,False,False,False,False,False,True,False,entrée
192,Original Crispers w/o Dressing,True,False,False,False,False,False,True,False,True,False,entrée
193,Mango-Habanero Crispers w/o Dressing,True,False,False,False,False,False,False,False,True,False,entrée
194,Add Side Original BBQ Sauce,False,False,False,False,False,False,False,False,False,True,entrée
195,Add Side Honey-Mustard,False,True,False,False,False,False,False,False,False,True,entrée
196,Add Side House BBQ,False,False,False,False,False,False,True,False,False,True,entrée
197,Add Side Ranch,False,True,False,True,False,False,False,False,False,True,entrée
198,Jalapeno-Cheddar Smoked Sausage,False,False,False,True,False,False,False,False,False,False,entrée
199,Ribs Honey-Chipotle - Half Rack,False,False,False,False,False,False,False,False,False,False,entrée
200,Ribs House BBQ - Half Rack,False,False,False,False,False,False,True,False,False,False,entrée
201,Ribs Original - Half Rack,False,False,False,False,False,False,False,False,False,False,entrée
202,Ribs Dry Rub - Half Rack,False,False,False,False,False,False,True,False,False,False,entrée
203,Smoked Brisket w/o Toast,False,False,False,False,False,False,True,False,False,False,entrée
204,Chile-Garlic Toast,False,False,False,True,False,False,True,False,True,True,sides
205,Garlic Dill Pickles,False,False,False,False,False,False,False,False,False,True,sides
206,Fries,True,False,False,False,False,False,False,False,False,True,sides
207,Roasted Street Corn,False,True,False,True,False,False,True,False,False,True,sides
208,Cheesecake,False,True,False,True,False,False,True,False,True,True,dessert
209,Mini Molten Chocolate Cake,False,True,False,True,False,False,True,False,True,True,dessert
210,Molten Chocolate Cake,False,True,False,True,False,False,True,False,True,True,dessert
211,Skillet Chocolate Chip Cookie,False,True,False,True,False,False,True,False,True,True,dessert
212,Awesome Blossom Petals,True,True,False,True,False,False,True,False,True,True,sides
213,Black Beans,False,False,False,False,False,False,False,False,False,True,sides
214,Coleslaw,False,True,False,False,False,False,False,False,False,True,sides
215,Fries,True,False,False,False,False,False,False,False,False,True,sides
216,Loaded Mashed Potatoes,False,False,False,True,False,False,True,False,False,False,sides
217,Loaded Mashed Potatoes w/o Bacon,False,False,False,True,False,False,True,False,False,True,sides
218,Mexican Rice,False,False,False,False,False,False,False,False,False,True,sides
219,Roasted Asparagus,False,False,False,False,False,False,False,False,False,True,sides
220,Roasted Street Corn,False,True,False,True,False,False,True,False,False,True,sides
221,Steamed Broccoli,False,False,False,False,False,False,False,False,False,True,sides
222,Sweet Corn on the Cob,False,False,False,False,False,False,True,False,False,True,sides
223,Avocado Slices,False,False,False,False,False,False,False,False,False,True,add_ons
224,Burger Bun,False,False,False,False,False,False,True,False,True,True,add_ons
225,"Cheese, American",False,False,False,True,False,False,True,False,False,False,add_ons
226,"Cheese, Cheddar",False,False,False,True,False,False,False,False,False,True,add_ons
227,"Cheese, Pepper Jack",False,False,False,True,False,False,False,False,False,True,add_ons
228,"Cheese, Swiss",False,False,False,True,False,False,False,False,False,True,add_ons
229,Fresh Guacamole,False,False,False,False,False,False,False,False,False,True,add_ons
230,"Gravy, Black Pepper",False,False,False,True,False,False,True,False,True,False,add_ons
231,Honey Chipotle Sauce,False,False,False,False,False,False,False,False,False,True,add_ons
232,Pickles,False,False,False,False,False,False,False,False,False,True,add_ons
233,Salsa,False,False,False,False,False,False,False,False,False,True,add_ons
234,Sour Cream,False,False,False,True,False,False,False,False,False,True,add_ons
235,Wing Sauce,False,False,True,False,False,False,False,False,False,False,add_ons
